id,host_id,host_name,neighbourhood_cleansed,price_clean,availability_365,calculated_host_listings_count,license,eustat_renta_media_hogar,osm_densidad_ocio_500m,osm_distancia_costa_monumento_m,idealista_m2_mes,catastro_m2_real,dias_ocupados_reales,estado_licencia_auditada,y_fraude_administrativo,indice_rotacion_booking,eustat_variacion_poblacion_5anos,ingreso_mensual_turistico,ingreso_mensual_tradicional,ratio_especulacion_real,indice_desertizacion_comercial,indice_desplazamiento_vecinal,y_especulador
14981505,791757,Maite,Bilbao,116.0,348,10,ESS00123,29400.0,24,350.0,13.8,72.0,246,OK_ESS00123,0,93.8,-4.36,2552.0,993.6,2.57,70.8,67.4,1
23953367,490719,Gorka,Donostia-San Sebastián,181.0,87,8,EBI00456,38500.0,29,120.0,17.1,78.0,287,OK_EBI00456,0,27.2,-7.210000000000001,3982.0,1333.8000000000002,2.99,52.2,78.6,1
95652971,579361,Maite,Vitoria-Gasteiz,219.0,239,5,EBI00456,34200.0,8,1400.0,9.5,85.0,138,OK_EBI00456,0,66.7,-3.29,4818.0,807.5,5.97,35.9,37.8,1
14521373,201371,Maite,Donostia-San Sebastián,63.0,312,4,SIN_REGISTRO,38500.0,29,120.0,17.1,78.0,148,ILEGAL_SIN_REGISTRO,1,82.3,-6.03,1386.0,1333.8000000000002,1.04,74.7,40.5,0
13344769,662997,Maite,Donostia-San Sebastián,239.0,185,7,Exento,38500.0,29,120.0,17.1,78.0,200,OK_EXENTO,0,52.7,-7.790000000000001,5258.0,1333.8000000000002,3.94,62.0,54.8,1
86893497,292192,Gorka,Vitoria-Gasteiz,219.0,236,7,EBI00456,34200.0,8,1400.0,9.5,85.0,209,OK_EBI00456,0,64.5,-3.29,4818.0,807.5,5.97,35.6,57.3,1
40349564,250322,Iker,Vitoria-Gasteiz,185.0,96,9,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,282,CORREGIDA_EBI014636,0,28.3,-2.95,4070.0,807.5,5.04,21.6,77.3,1
52860080,121172,Amaia,Donostia-San Sebastián,290.0,158,9,ESS00123,38500.0,29,120.0,17.1,78.0,126,OK_ESS00123,0,44.6,-8.3,6380.0,1333.8000000000002,4.78,59.3,34.5,1
87751354,635843,Maite,Vitoria-Gasteiz,137.0,157,5,SIN_REGISTRO,34200.0,8,1400.0,9.5,85.0,165,ILEGAL_SIN_REGISTRO,1,42.8,-2.47,3014.0,807.5,3.73,27.7,45.2,1
72250665,677564,Mikel,Donostia-San Sebastián,283.0,186,8,EBI00456,38500.0,29,120.0,17.1,78.0,155,OK_EBI00456,0,52.4,-8.23,6226.0,1333.8000000000002,4.67,62.1,42.5,1
76209791,681780,Gorka,Donostia-San Sebastián,249.0,227,10,EBI00456,38500.0,29,120.0,17.1,78.0,176,OK_EBI00456,0,62.0,-7.890000000000001,5478.0,1333.8000000000002,4.11,66.2,48.2,1
56792155,808362,Maite,Vitoria-Gasteiz,92.0,139,1,Exento,34200.0,8,1400.0,9.5,85.0,251,OK_EXENTO,0,36.4,-2.02,2024.0,807.5,2.51,25.9,68.8,1
31498555,613319,Iker,Bilbao,289.0,353,9,EBI00456,29400.0,24,350.0,13.8,72.0,176,OK_EBI00456,0,92.2,-6.09,6358.0,993.6,6.4,71.3,48.2,1
70221198,880298,Amaia,Vitoria-Gasteiz,172.0,185,8,ESS00123,34200.0,8,1400.0,9.5,85.0,132,OK_ESS00123,0,48.9,-2.8200000000000003,3784.0,807.5,4.69,30.5,36.2,1
89757501,976031,Gorka,Bilbao,61.0,209,6,EBI00456,29400.0,24,350.0,13.8,72.0,203,OK_EBI00456,0,58.0,-3.81,1342.0,993.6,1.35,56.9,55.6,0
26861870,322320,Jon,Donostia-San Sebastián,115.0,75,3,EBI00456,38500.0,29,120.0,17.1,78.0,260,OK_EBI00456,0,23.8,-6.550000000000001,2530.0,1333.8000000000002,1.9,51.0,71.2,0
62286002,517978,Amaia,Donostia-San Sebastián,313.0,87,3,SIN_REGISTRO,38500.0,29,120.0,17.1,78.0,264,ILEGAL_SIN_REGISTRO,1,29.0,-8.530000000000001,6886.0,1333.8000000000002,5.16,52.2,72.3,1
42049003,111046,Mikel,Bilbao,51.0,232,8,EBI00456,29400.0,24,350.0,13.8,72.0,163,OK_EBI00456,0,61.8,-3.71,1122.0,993.6,1.13,59.2,44.7,0
71136438,328071,Maite,Donostia-San Sebastián,147.0,105,5,ESFCTU00004802700008399400000000000000000000EBI014636,38500.0,29,120.0,17.1,78.0,247,CORREGIDA_EBI014636,0,29.2,-6.87,3234.0,1333.8000000000002,2.42,54.0,67.7,0
72194931,478165,Iker,Bilbao,237.0,295,10,EBI00456,29400.0,24,350.0,13.8,72.0,186,OK_EBI00456,0,79.1,-5.57,5214.0,993.6,5.25,65.5,51.0,1
75285250,808662,Jon,Bilbao,285.0,273,11,EBI00456,29400.0,24,350.0,13.8,72.0,125,OK_EBI00456,0,72.9,-6.050000000000001,6270.0,993.6,6.31,63.3,34.2,1
79537252,516366,Iker,Donostia-San Sebastián,106.0,144,7,Exento,38500.0,29,120.0,17.1,78.0,150,OK_EXENTO,0,40.6,-6.460000000000001,2332.0,1333.8000000000002,1.75,57.9,41.1,0
69248434,366997,Jon,Bilbao,61.0,341,5,EBI00456,29400.0,24,350.0,13.8,72.0,207,OK_EBI00456,0,92.1,-3.81,1342.0,993.6,1.35,70.1,56.7,0
71306900,745188,Gorka,Vitoria-Gasteiz,215.0,291,8,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,292,CORREGIDA_EBI014636,0,80.4,-3.25,4730.0,807.5,5.86,41.1,80.0,1
65831368,582615,Jon,Vitoria-Gasteiz,69.0,144,10,EBI00456,34200.0,8,1400.0,9.5,85.0,237,OK_EBI00456,0,40.6,-1.79,1518.0,807.5,1.88,26.4,64.9,0
20959014,515008,Mikel,Donostia-San Sebastián,295.0,124,10,EBI00456,38500.0,29,120.0,17.1,78.0,170,OK_EBI00456,0,33.5,-8.350000000000001,6490.0,1333.8000000000002,4.87,55.9,46.6,1
66972561,683417,Mikel,Donostia-San Sebastián,297.0,193,4,ESS00123,38500.0,29,120.0,17.1,78.0,195,OK_ESS00123,0,57.9,-8.370000000000001,6534.0,1333.8000000000002,4.9,62.8,53.4,1
58900483,861379,Ane,Bilbao,251.0,210,2,EBI00456,29400.0,24,350.0,13.8,72.0,227,OK_EBI00456,0,59.8,-5.71,5522.0,993.6,5.56,57.0,62.2,1
30193880,305550,Mikel,Bilbao,73.0,174,3,ESS00123,29400.0,24,350.0,13.8,72.0,209,OK_ESS00123,0,47.2,-3.93,1606.0,993.6,1.62,53.4,57.3,0
13385357,344883,Amaia,Bilbao,161.0,123,8,Exento,29400.0,24,350.0,13.8,72.0,158,OK_EXENTO,0,37.7,-4.8100000000000005,3542.0,993.6,3.56,48.3,43.3,1
54738553,738418,Jon,Bilbao,188.0,217,11,ESS00123,29400.0,24,350.0,13.8,72.0,289,OK_ESS00123,0,61.4,-5.08,4136.0,993.6,4.16,57.7,79.2,1
78574553,560514,Mikel,Vitoria-Gasteiz,69.0,136,7,ESS00123,34200.0,8,1400.0,9.5,85.0,111,OK_ESS00123,0,36.2,-1.79,1518.0,807.5,1.88,25.6,30.4,0
26845364,771210,Gorka,Vitoria-Gasteiz,200.0,205,2,ESS00123,34200.0,8,1400.0,9.5,85.0,229,OK_ESS00123,0,55.6,-3.1,4400.0,807.5,5.45,32.5,62.7,1
62157313,221789,Iker,Donostia-San Sebastián,117.0,284,6,ESS00123,38500.0,29,120.0,17.1,78.0,287,OK_ESS00123,0,75.5,-6.57,2574.0,1333.8000000000002,1.93,71.9,78.6,0
21392366,779418,Iker,Bilbao,164.0,162,9,ESS00123,29400.0,24,350.0,13.8,72.0,232,OK_ESS00123,0,47.2,-4.84,3608.0,993.6,3.63,52.2,63.6,1
79778859,800780,Ane,Bilbao,137.0,360,4,SIN_REGISTRO,29400.0,24,350.0,13.8,72.0,195,ILEGAL_SIN_REGISTRO,1,96.4,-4.57,3014.0,993.6,3.03,72.0,53.4,1
98883975,663178,Iker,Donostia-San Sebastián,130.0,147,9,Exento,38500.0,29,120.0,17.1,78.0,280,OK_EXENTO,0,42.8,-6.7,2860.0,1333.8000000000002,2.14,58.2,76.7,0
23479854,166017,Jon,Bilbao,162.0,362,2,Exento,29400.0,24,350.0,13.8,72.0,186,OK_EXENTO,0,92.1,-4.82,3564.0,993.6,3.59,72.2,51.0,1
83506850,278376,Ane,Bilbao,277.0,227,2,Exento,29400.0,24,350.0,13.8,72.0,245,OK_EXENTO,0,61.4,-5.970000000000001,6094.0,993.6,6.13,58.7,67.1,1
23187277,788281,Jon,Bilbao,243.0,229,9,ESS00123,29400.0,24,350.0,13.8,72.0,168,OK_ESS00123,0,62.6,-5.630000000000001,5346.0,993.6,5.38,58.9,46.0,1
78979792,599137,Gorka,Bilbao,250.0,194,7,SIN_REGISTRO,29400.0,24,350.0,13.8,72.0,121,ILEGAL_SIN_REGISTRO,1,55.8,-5.7,5500.0,993.6,5.54,55.4,33.2,1
47709731,756884,Ane,Bilbao,191.0,109,7,ESS00123,29400.0,24,350.0,13.8,72.0,113,OK_ESS00123,0,31.2,-5.11,4202.0,993.6,4.23,46.9,31.0,1
36939239,724712,Maite,Donostia-San Sebastián,315.0,193,1,ESS00123,38500.0,29,120.0,17.1,78.0,226,OK_ESS00123,0,51.4,-8.55,6930.0,1333.8000000000002,5.2,62.8,61.9,1
33027075,901480,Amaia,Bilbao,183.0,196,11,EBI00456,29400.0,24,350.0,13.8,72.0,204,OK_EBI00456,0,55.4,-5.03,4026.0,993.6,4.05,55.6,55.9,1
91200125,793264,Amaia,Donostia-San Sebastián,225.0,304,6,ESS00123,38500.0,29,120.0,17.1,78.0,234,OK_ESS00123,0,80.9,-7.65,4950.0,1333.8000000000002,3.71,73.9,64.1,1
96191493,941344,Jon,Bilbao,74.0,168,7,Exento,29400.0,24,350.0,13.8,72.0,150,OK_EXENTO,0,48.2,-3.9400000000000004,1628.0,993.6,1.64,52.8,41.1,0
97796277,658296,Iker,Vitoria-Gasteiz,101.0,346,11,ESS00123,34200.0,8,1400.0,9.5,85.0,232,OK_ESS00123,0,94.0,-2.1100000000000003,2222.0,807.5,2.75,46.6,63.6,1
76401385,493276,Maite,Vitoria-Gasteiz,276.0,80,6,Exento,34200.0,8,1400.0,9.5,85.0,116,OK_EXENTO,0,24.5,-3.86,6072.0,807.5,7.52,20.0,31.8,1
32335235,830026,Ane,Vitoria-Gasteiz,190.0,149,6,EBI00456,34200.0,8,1400.0,9.5,85.0,178,OK_EBI00456,0,40.4,-3.0,4180.0,807.5,5.18,26.9,48.8,1
10271836,707847,Maite,Vitoria-Gasteiz,92.0,355,2,ESS00123,34200.0,8,1400.0,9.5,85.0,178,OK_ESS00123,0,99.4,-2.02,2024.0,807.5,2.51,47.5,48.8,1
13584702,155337,Maite,Donostia-San Sebastián,238.0,171,6,Exento,38500.0,29,120.0,17.1,78.0,190,OK_EXENTO,0,49.2,-7.78,5236.0,1333.8000000000002,3.93,60.6,52.1,1
62631083,997048,Iker,Donostia-San Sebastián,268.0,360,4,ESS00123,38500.0,29,120.0,17.1,78.0,139,OK_ESS00123,0,95.2,-8.08,5896.0,1333.8000000000002,4.42,79.5,38.1,1
18585377,375494,Ane,Bilbao,180.0,136,9,EBI00456,29400.0,24,350.0,13.8,72.0,182,OK_EBI00456,0,36.7,-5.0,3960.0,993.6,3.99,49.6,49.9,1
96544585,124354,Gorka,Vitoria-Gasteiz,66.0,236,1,ESS00123,34200.0,8,1400.0,9.5,85.0,115,OK_ESS00123,0,62.7,-1.7600000000000002,1452.0,807.5,1.8,35.6,31.5,0
95157821,145186,Iker,Donostia-San Sebastián,50.0,207,8,EBI00456,38500.0,29,120.0,17.1,78.0,198,OK_EBI00456,0,58.2,-5.9,1100.0,1333.8000000000002,0.82,64.2,54.2,0
97655395,652433,Maite,Bilbao,248.0,160,5,EBI00456,29400.0,24,350.0,13.8,72.0,256,OK_EBI00456,0,46.1,-5.68,5456.0,993.6,5.49,52.0,70.1,1
27824013,527236,Maite,Bilbao,283.0,305,1,ESS00123,29400.0,24,350.0,13.8,72.0,175,OK_ESS00123,0,79.5,-6.03,6226.0,993.6,6.27,66.5,47.9,1
46601694,710411,Gorka,Donostia-San Sebastián,229.0,176,4,ESFCTU00004802700008399400000000000000000000EBI014636,38500.0,29,120.0,17.1,78.0,119,CORREGIDA_EBI014636,0,49.5,-7.69,5038.0,1333.8000000000002,3.78,61.1,32.6,1
77105583,599883,Maite,Vitoria-Gasteiz,264.0,151,1,SIN_REGISTRO,34200.0,8,1400.0,9.5,85.0,253,ILEGAL_SIN_REGISTRO,1,38.8,-3.74,5808.0,807.5,7.19,27.1,69.3,1
70304654,830546,Maite,Bilbao,160.0,87,6,Exento,29400.0,24,350.0,13.8,72.0,146,OK_EXENTO,0,28.8,-4.800000000000001,3520.0,993.6,3.54,44.7,40.0,1
44119117,840829,Maite,Vitoria-Gasteiz,93.0,84,2,Exento,34200.0,8,1400.0,9.5,85.0,186,OK_EXENTO,0,26.3,-2.0300000000000002,2046.0,807.5,2.53,20.4,51.0,1
46433622,644869,Amaia,Vitoria-Gasteiz,217.0,117,5,ESS00123,34200.0,8,1400.0,9.5,85.0,186,OK_ESS00123,0,33.7,-3.27,4774.0,807.5,5.91,23.7,51.0,1
99482491,713217,Iker,Vitoria-Gasteiz,126.0,356,7,EBI00456,34200.0,8,1400.0,9.5,85.0,141,OK_EBI00456,0,93.5,-2.3600000000000003,2772.0,807.5,3.43,47.6,38.6,1
70031992,385195,Mikel,Bilbao,89.0,193,2,ESS00123,29400.0,24,350.0,13.8,72.0,156,OK_ESS00123,0,53.6,-4.09,1958.0,993.6,1.97,55.3,42.7,0
65105831,675762,Iker,Vitoria-Gasteiz,64.0,308,6,ESS00123,34200.0,8,1400.0,9.5,85.0,219,OK_ESS00123,0,81.6,-1.7400000000000002,1408.0,807.5,1.74,42.8,60.0,0
13366612,716036,Gorka,Bilbao,265.0,97,6,ESFCTU00004802700008399400000000000000000000EBI014636,29400.0,24,350.0,13.8,72.0,280,CORREGIDA_EBI014636,0,28.8,-5.85,5830.0,993.6,5.87,45.7,76.7,1
68743503,225995,Maite,Vitoria-Gasteiz,167.0,134,5,EBI00456,34200.0,8,1400.0,9.5,85.0,229,OK_EBI00456,0,39.1,-2.77,3674.0,807.5,4.55,25.4,62.7,1
46258670,345690,Iker,Bilbao,278.0,201,5,EBI00456,29400.0,24,350.0,13.8,72.0,273,OK_EBI00456,0,56.8,-5.98,6116.0,993.6,6.16,56.1,74.8,1
79739572,431770,Amaia,Vitoria-Gasteiz,265.0,227,3,ESS00123,34200.0,8,1400.0,9.5,85.0,263,OK_ESS00123,0,61.8,-3.75,5830.0,807.5,7.22,34.7,72.1,1
65848857,893392,Gorka,Donostia-San Sebastián,47.0,318,10,EBI00456,38500.0,29,120.0,17.1,78.0,119,OK_EBI00456,0,88.1,-5.87,1034.0,1333.8000000000002,0.78,75.3,32.6,0
67055419,528988,Jon,Vitoria-Gasteiz,226.0,284,10,ESS00123,34200.0,8,1400.0,9.5,85.0,268,OK_ESS00123,0,76.5,-3.36,4972.0,807.5,6.16,40.4,73.4,1
59160571,280553,Iker,Vitoria-Gasteiz,250.0,211,11,ESS00123,34200.0,8,1400.0,9.5,85.0,206,OK_ESS00123,0,54.0,-3.6,5500.0,807.5,6.81,33.1,56.4,1
78394024,660696,Jon,Bilbao,84.0,78,2,ESS00123,29400.0,24,350.0,13.8,72.0,266,OK_ESS00123,0,24.2,-4.04,1848.0,993.6,1.86,43.8,72.9,0
74525468,980438,Maite,Bilbao,103.0,205,7,EBI00456,29400.0,24,350.0,13.8,72.0,114,OK_EBI00456,0,60.6,-4.23,2266.0,993.6,2.28,56.5,31.2,0
99966606,359568,Amaia,Vitoria-Gasteiz,106.0,300,1,EBI00456,34200.0,8,1400.0,9.5,85.0,186,OK_EBI00456,0,78.7,-2.16,2332.0,807.5,2.89,42.0,51.0,1
48727468,419278,Amaia,Donostia-San Sebastián,176.0,296,6,ESS00123,38500.0,29,120.0,17.1,78.0,110,OK_ESS00123,0,78.0,-7.16,3872.0,1333.8000000000002,2.9,73.1,30.1,1
61757120,251563,Iker,Donostia-San Sebastián,104.0,94,6,Exento,38500.0,29,120.0,17.1,78.0,240,OK_EXENTO,0,28.3,-6.44,2288.0,1333.8000000000002,1.72,52.9,65.8,0
77157848,756701,Gorka,Bilbao,166.0,249,3,ESS00123,29400.0,24,350.0,13.8,72.0,176,OK_ESS00123,0,71.4,-4.86,3652.0,993.6,3.68,60.9,48.2,1
87897542,799983,Gorka,Donostia-San Sebastián,151.0,60,2,EBI00456,38500.0,29,120.0,17.1,78.0,272,OK_EBI00456,0,16.5,-6.91,3322.0,1333.8000000000002,2.49,49.5,74.5,0
83665032,714615,Amaia,Vitoria-Gasteiz,140.0,212,2,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,124,CORREGIDA_EBI014636,0,54.9,-2.5,3080.0,807.5,3.81,33.2,34.0,1
95390464,493554,Gorka,Bilbao,279.0,185,9,EBI00456,29400.0,24,350.0,13.8,72.0,202,OK_EBI00456,0,52.7,-5.99,6138.0,993.6,6.18,54.5,55.3,1
58170987,302503,Amaia,Vitoria-Gasteiz,106.0,285,11,SIN_REGISTRO,34200.0,8,1400.0,9.5,85.0,139,ILEGAL_SIN_REGISTRO,1,77.4,-2.16,2332.0,807.5,2.89,40.5,38.1,1
62562567,243326,Iker,Bilbao,300.0,280,5,ESFCTU00004802700008399400000000000000000000EBI014636,29400.0,24,350.0,13.8,72.0,212,CORREGIDA_EBI014636,0,80.2,-6.2,6600.0,993.6,6.64,64.0,58.1,1
33717335,807220,Mikel,Bilbao,93.0,270,7,EBI00456,29400.0,24,350.0,13.8,72.0,191,OK_EBI00456,0,71.4,-4.13,2046.0,993.6,2.06,63.0,52.3,0
70472382,111344,Amaia,Bilbao,203.0,84,5,Exento,29400.0,24,350.0,13.8,72.0,184,OK_EXENTO,0,25.2,-5.23,4466.0,993.6,4.49,44.4,50.4,1
22719242,494966,Jon,Bilbao,168.0,75,7,SIN_REGISTRO,29400.0,24,350.0,13.8,72.0,280,ILEGAL_SIN_REGISTRO,1,20.0,-4.88,3696.0,993.6,3.72,43.5,76.7,1
58715250,692245,Gorka,Donostia-San Sebastián,251.0,241,4,ESS00123,38500.0,29,120.0,17.1,78.0,169,OK_ESS00123,0,66.4,-7.91,5522.0,1333.8000000000002,4.14,67.6,46.3,1
93139152,205423,Amaia,Vitoria-Gasteiz,92.0,188,8,ESS00123,34200.0,8,1400.0,9.5,85.0,149,OK_ESS00123,0,49.6,-2.02,2024.0,807.5,2.51,30.8,40.8,1
54054178,420197,Amaia,Vitoria-Gasteiz,180.0,101,11,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,266,CORREGIDA_EBI014636,0,30.2,-2.9000000000000004,3960.0,807.5,4.9,22.1,72.9,1
48334882,564071,Iker,Vitoria-Gasteiz,245.0,295,10,Exento,34200.0,8,1400.0,9.5,85.0,183,OK_EXENTO,0,80.9,-3.5500000000000003,5390.0,807.5,6.67,41.5,50.1,1
62441466,771256,Gorka,Bilbao,294.0,93,11,ESS00123,29400.0,24,350.0,13.8,72.0,230,OK_ESS00123,0,23.4,-6.140000000000001,6468.0,993.6,6.51,45.3,63.0,1
59583876,286833,Mikel,Donostia-San Sebastián,253.0,104,10,EBI00456,38500.0,29,120.0,17.1,78.0,256,OK_EBI00456,0,35.4,-7.93,5566.0,1333.8000000000002,4.17,53.9,70.1,1
96117865,817912,Iker,Vitoria-Gasteiz,255.0,193,7,Exento,34200.0,8,1400.0,9.5,85.0,112,OK_EXENTO,0,52.9,-3.65,5610.0,807.5,6.95,31.3,30.7,1
73203558,875435,Mikel,Donostia-San Sebastián,236.0,80,10,EBI00456,38500.0,29,120.0,17.1,78.0,145,OK_EBI00456,0,24.6,-7.76,5192.0,1333.8000000000002,3.89,51.5,39.7,1
47407771,177454,Iker,Bilbao,88.0,181,5,EBI00456,29400.0,24,350.0,13.8,72.0,152,OK_EBI00456,0,49.1,-4.08,1936.0,993.6,1.95,54.1,41.6,0
93122310,357594,Gorka,Vitoria-Gasteiz,73.0,129,11,Exento,34200.0,8,1400.0,9.5,85.0,252,OK_EXENTO,0,35.5,-1.83,1606.0,807.5,1.99,24.9,69.0,0
37009224,611897,Ane,Donostia-San Sebastián,103.0,107,6,EBI00456,38500.0,29,120.0,17.1,78.0,278,OK_EBI00456,0,28.5,-6.430000000000001,2266.0,1333.8000000000002,1.7,54.2,76.2,0
61327755,452744,Gorka,Bilbao,115.0,98,5,EBI00456,29400.0,24,350.0,13.8,72.0,224,OK_EBI00456,0,31.6,-4.35,2530.0,993.6,2.55,45.8,61.4,1
89018913,616142,Gorka,Donostia-San Sebastián,136.0,346,7,Exento,38500.0,29,120.0,17.1,78.0,218,OK_EXENTO,0,92.2,-6.760000000000001,2992.0,1333.8000000000002,2.24,78.1,59.7,0
17130144,137641,Mikel,Vitoria-Gasteiz,309.0,69,2,Exento,34200.0,8,1400.0,9.5,85.0,199,OK_EXENTO,0,24.0,-4.1899999999999995,6798.0,807.5,8.42,18.9,54.5,1
14545583,653999,Mikel,Vitoria-Gasteiz,264.0,89,5,EBI00456,34200.0,8,1400.0,9.5,85.0,273,OK_EBI00456,0,29.4,-3.74,5808.0,807.5,7.19,20.9,74.8,1
64079037,956774,Gorka,Bilbao,259.0,303,10,ESS00123,29400.0,24,350.0,13.8,72.0,193,OK_ESS00123,0,79.3,-5.79,5698.0,993.6,5.73,66.3,52.9,1
64474455,469040,Gorka,Bilbao,108.0,333,3,EBI00456,29400.0,24,350.0,13.8,72.0,186,OK_EBI00456,0,90.1,-4.28,2376.0,993.6,2.39,69.3,51.0,0
51542436,767542,Gorka,Bilbao,289.0,147,9,ESFCTU00004802700008399400000000000000000000EBI014636,29400.0,24,350.0,13.8,72.0,270,CORREGIDA_EBI014636,0,44.9,-6.09,6358.0,993.6,6.4,50.7,74.0,1
56626914,712121,Mikel,Donostia-San Sebastián,106.0,303,6,ESS00123,38500.0,29,120.0,17.1,78.0,114,OK_ESS00123,0,79.1,-6.460000000000001,2332.0,1333.8000000000002,1.75,73.8,31.2,0
63933927,418420,Gorka,Donostia-San Sebastián,214.0,74,10,ESS00123,38500.0,29,120.0,17.1,78.0,187,OK_ESS00123,0,22.3,-7.540000000000001,4708.0,1333.8000000000002,3.53,50.9,51.2,1
62453338,381685,Gorka,Donostia-San Sebastián,313.0,63,3,EBI00456,38500.0,29,120.0,17.1,78.0,200,OK_EBI00456,0,19.6,-8.530000000000001,6886.0,1333.8000000000002,5.16,49.8,54.8,1
24881728,980889,Maite,Bilbao,311.0,250,7,SIN_REGISTRO,29400.0,24,350.0,13.8,72.0,196,ILEGAL_SIN_REGISTRO,1,67.3,-6.3100000000000005,6842.0,993.6,6.89,61.0,53.7,1
44045666,575526,Ane,Vitoria-Gasteiz,98.0,227,4,ESS00123,34200.0,8,1400.0,9.5,85.0,123,OK_ESS00123,0,62.3,-2.08,2156.0,807.5,2.67,34.7,33.7,1
22722094,144813,Jon,Vitoria-Gasteiz,60.0,68,3,ESS00123,34200.0,8,1400.0,9.5,85.0,213,OK_ESS00123,0,23.5,-1.7000000000000002,1320.0,807.5,1.63,18.8,58.4,0
32178434,792558,Ane,Donostia-San Sebastián,52.0,168,8,ESS00123,38500.0,29,120.0,17.1,78.0,192,OK_ESS00123,0,44.2,-5.92,1144.0,1333.8000000000002,0.86,60.3,52.6,0
56321408,764180,Maite,Donostia-San Sebastián,148.0,196,4,Exento,38500.0,29,120.0,17.1,78.0,284,OK_EXENTO,0,49.5,-6.880000000000001,3256.0,1333.8000000000002,2.44,63.1,77.8,0
22796932,386214,Jon,Vitoria-Gasteiz,103.0,213,11,ESS00123,34200.0,8,1400.0,9.5,85.0,163,OK_ESS00123,0,56.6,-2.13,2266.0,807.5,2.81,33.3,44.7,1
84023414,442703,Iker,Vitoria-Gasteiz,84.0,268,1,ESS00123,34200.0,8,1400.0,9.5,85.0,241,OK_ESS00123,0,69.6,-1.94,1848.0,807.5,2.29,38.8,66.0,0
36063245,304615,Gorka,Donostia-San Sebastián,281.0,331,6,EBI00456,38500.0,29,120.0,17.1,78.0,204,OK_EBI00456,0,86.3,-8.21,6182.0,1333.8000000000002,4.63,76.6,55.9,1
49443226,576657,Maite,Donostia-San Sebastián,138.0,202,10,SIN_REGISTRO,38500.0,29,120.0,17.1,78.0,118,ILEGAL_SIN_REGISTRO,1,53.9,-6.78,3036.0,1333.8000000000002,2.28,63.7,32.3,0
83619289,666074,Iker,Vitoria-Gasteiz,266.0,158,11,EBI00456,34200.0,8,1400.0,9.5,85.0,162,OK_EBI00456,0,46.6,-3.7600000000000002,5852.0,807.5,7.25,27.8,44.4,1
