id,host_id,host_name,neighbourhood_cleansed,price_clean,availability_365,calculated_host_listings_count,license,eustat_renta_media_hogar,osm_densidad_ocio_500m,osm_distancia_costa_monumento_m,idealista_m2_mes,catastro_m2_real,dias_ocupados_reales
69248434,366997,Jon,Bilbao,61.0,341,5,EBI00456,29400.0,24,350.0,13.8,72.0,207
71306900,745188,Gorka,Vitoria-Gasteiz,215.0,291,8,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,292
65831368,582615,Jon,Vitoria-Gasteiz,69.0,144,10,EBI00456,34200.0,8,1400.0,9.5,85.0,237
20959014,515008,Mikel,Donostia-San Sebastián,295.0,124,10,EBI00456,38500.0,29,120.0,17.1,78.0,170
66972561,683417,Mikel,Donostia-San Sebastián,297.0,193,4,ESS00123,38500.0,29,120.0,17.1,78.0,195
58900483,861379,Ane,Bilbao,251.0,210,2,EBI00456,29400.0,24,350.0,13.8,72.0,227
30193880,305550,Mikel,Bilbao,73.0,174,3,ESS00123,29400.0,24,350.0,13.8,72.0,209
13385357,344883,Amaia,Bilbao,161.0,123,8,Exento,29400.0,24,350.0,13.8,72.0,158
54738553,738418,Jon,Bilbao,188.0,217,11,ESS00123,29400.0,24,350.0,13.8,72.0,289
78574553,560514,Mikel,Vitoria-Gasteiz,69.0,136,7,ESS00123,34200.0,8,1400.0,9.5,85.0,111
26845364,771210,Gorka,Vitoria-Gasteiz,200.0,205,2,ESS00123,34200.0,8,1400.0,9.5,85.0,229
62157313,221789,Iker,Donostia-San Sebastián,117.0,284,6,ESS00123,38500.0,29,120.0,17.1,78.0,287
21392366,779418,Iker,Bilbao,164.0,162,9,ESS00123,29400.0,24,350.0,13.8,72.0,232
79778859,800780,Ane,Bilbao,137.0,360,4,SIN_REGISTRO,29400.0,24,350.0,13.8,72.0,195
98883975,663178,Iker,Donostia-San Sebastián,130.0,147,9,Exento,38500.0,29,120.0,17.1,78.0,280
23479854,166017,Jon,Bilbao,162.0,362,2,Exento,29400.0,24,350.0,13.8,72.0,186
83506850,278376,Ane,Bilbao,277.0,227,2,Exento,29400.0,24,350.0,13.8,72.0,245
23187277,788281,Jon,Bilbao,243.0,229,9,ESS00123,29400.0,24,350.0,13.8,72.0,168
78979792,599137,Gorka,Bilbao,250.0,194,7,SIN_REGISTRO,29400.0,24,350.0,13.8,72.0,121
47709731,756884,Ane,Bilbao,191.0,109,7,ESS00123,29400.0,24,350.0,13.8,72.0,113
36939239,724712,Maite,Donostia-San Sebastián,315.0,193,1,ESS00123,38500.0,29,120.0,17.1,78.0,226
33027075,901480,Amaia,Bilbao,183.0,196,11,EBI00456,29400.0,24,350.0,13.8,72.0,204
91200125,793264,Amaia,Donostia-San Sebastián,225.0,304,6,ESS00123,38500.0,29,120.0,17.1,78.0,234
96191493,941344,Jon,Bilbao,74.0,168,7,Exento,29400.0,24,350.0,13.8,72.0,150
97796277,658296,Iker,Vitoria-Gasteiz,101.0,346,11,ESS00123,34200.0,8,1400.0,9.5,85.0,232
76401385,493276,Maite,Vitoria-Gasteiz,276.0,80,6,Exento,34200.0,8,1400.0,9.5,85.0,116
32335235,830026,Ane,Vitoria-Gasteiz,190.0,149,6,EBI00456,34200.0,8,1400.0,9.5,85.0,178
10271836,707847,Maite,Vitoria-Gasteiz,92.0,355,2,ESS00123,34200.0,8,1400.0,9.5,85.0,178
13584702,155337,Maite,Donostia-San Sebastián,238.0,171,6,Exento,38500.0,29,120.0,17.1,78.0,190
62631083,997048,Iker,Donostia-San Sebastián,268.0,360,4,ESS00123,38500.0,29,120.0,17.1,78.0,139
18585377,375494,Ane,Bilbao,180.0,136,9,EBI00456,29400.0,24,350.0,13.8,72.0,182
96544585,124354,Gorka,Vitoria-Gasteiz,66.0,236,1,ESS00123,34200.0,8,1400.0,9.5,85.0,115
95157821,145186,Iker,Donostia-San Sebastián,50.0,207,8,EBI00456,38500.0,29,120.0,17.1,78.0,198
97655395,652433,Maite,Bilbao,248.0,160,5,EBI00456,29400.0,24,350.0,13.8,72.0,256
27824013,527236,Maite,Bilbao,283.0,305,1,ESS00123,29400.0,24,350.0,13.8,72.0,175
46601694,710411,Gorka,Donostia-San Sebastián,229.0,176,4,ESFCTU00004802700008399400000000000000000000EBI014636,38500.0,29,120.0,17.1,78.0,119
77105583,599883,Maite,Vitoria-Gasteiz,264.0,151,1,SIN_REGISTRO,34200.0,8,1400.0,9.5,85.0,253
70304654,830546,Maite,Bilbao,160.0,87,6,Exento,29400.0,24,350.0,13.8,72.0,146
44119117,840829,Maite,Vitoria-Gasteiz,93.0,84,2,Exento,34200.0,8,1400.0,9.5,85.0,186
46433622,644869,Amaia,Vitoria-Gasteiz,217.0,117,5,ESS00123,34200.0,8,1400.0,9.5,85.0,186
99482491,713217,Iker,Vitoria-Gasteiz,126.0,356,7,EBI00456,34200.0,8,1400.0,9.5,85.0,141
70031992,385195,Mikel,Bilbao,89.0,193,2,ESS00123,29400.0,24,350.0,13.8,72.0,156
65105831,675762,Iker,Vitoria-Gasteiz,64.0,308,6,ESS00123,34200.0,8,1400.0,9.5,85.0,219
13366612,716036,Gorka,Bilbao,265.0,97,6,ESFCTU00004802700008399400000000000000000000EBI014636,29400.0,24,350.0,13.8,72.0,280
68743503,225995,Maite,Vitoria-Gasteiz,167.0,134,5,EBI00456,34200.0,8,1400.0,9.5,85.0,229
46258670,345690,Iker,Bilbao,278.0,201,5,EBI00456,29400.0,24,350.0,13.8,72.0,273
79739572,431770,Amaia,Vitoria-Gasteiz,265.0,227,3,ESS00123,34200.0,8,1400.0,9.5,85.0,263
65848857,893392,Gorka,Donostia-San Sebastián,47.0,318,10,EBI00456,38500.0,29,120.0,17.1,78.0,119
67055419,528988,Jon,Vitoria-Gasteiz,226.0,284,10,ESS00123,34200.0,8,1400.0,9.5,85.0,268
59160571,280553,Iker,Vitoria-Gasteiz,250.0,211,11,ESS00123,34200.0,8,1400.0,9.5,85.0,206
78394024,660696,Jon,Bilbao,84.0,78,2,ESS00123,29400.0,24,350.0,13.8,72.0,266
74525468,980438,Maite,Bilbao,103.0,205,7,EBI00456,29400.0,24,350.0,13.8,72.0,114
99966606,359568,Amaia,Vitoria-Gasteiz,106.0,300,1,EBI00456,34200.0,8,1400.0,9.5,85.0,186
48727468,419278,Amaia,Donostia-San Sebastián,176.0,296,6,ESS00123,38500.0,29,120.0,17.1,78.0,110
61757120,251563,Iker,Donostia-San Sebastián,104.0,94,6,Exento,38500.0,29,120.0,17.1,78.0,240
77157848,756701,Gorka,Bilbao,166.0,249,3,ESS00123,29400.0,24,350.0,13.8,72.0,176
87897542,799983,Gorka,Donostia-San Sebastián,151.0,60,2,EBI00456,38500.0,29,120.0,17.1,78.0,272
83665032,714615,Amaia,Vitoria-Gasteiz,140.0,212,2,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,124
95390464,493554,Gorka,Bilbao,279.0,185,9,EBI00456,29400.0,24,350.0,13.8,72.0,202
58170987,302503,Amaia,Vitoria-Gasteiz,106.0,285,11,SIN_REGISTRO,34200.0,8,1400.0,9.5,85.0,139
62562567,243326,Iker,Bilbao,300.0,280,5,ESFCTU00004802700008399400000000000000000000EBI014636,29400.0,24,350.0,13.8,72.0,212
33717335,807220,Mikel,Bilbao,93.0,270,7,EBI00456,29400.0,24,350.0,13.8,72.0,191
70472382,111344,Amaia,Bilbao,203.0,84,5,Exento,29400.0,24,350.0,13.8,72.0,184
22719242,494966,Jon,Bilbao,168.0,75,7,SIN_REGISTRO,29400.0,24,350.0,13.8,72.0,280
58715250,692245,Gorka,Donostia-San Sebastián,251.0,241,4,ESS00123,38500.0,29,120.0,17.1,78.0,169
93139152,205423,Amaia,Vitoria-Gasteiz,92.0,188,8,ESS00123,34200.0,8,1400.0,9.5,85.0,149
54054178,420197,Amaia,Vitoria-Gasteiz,180.0,101,11,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,266
48334882,564071,Iker,Vitoria-Gasteiz,245.0,295,10,Exento,34200.0,8,1400.0,9.5,85.0,183
62441466,771256,Gorka,Bilbao,294.0,93,11,ESS00123,29400.0,24,350.0,13.8,72.0,230
59583876,286833,Mikel,Donostia-San Sebastián,253.0,104,10,EBI00456,38500.0,29,120.0,17.1,78.0,256
96117865,817912,Iker,Vitoria-Gasteiz,255.0,193,7,Exento,34200.0,8,1400.0,9.5,85.0,112
73203558,875435,Mikel,Donostia-San Sebastián,236.0,80,10,EBI00456,38500.0,29,120.0,17.1,78.0,145
47407771,177454,Iker,Bilbao,88.0,181,5,EBI00456,29400.0,24,350.0,13.8,72.0,152
93122310,357594,Gorka,Vitoria-Gasteiz,73.0,129,11,Exento,34200.0,8,1400.0,9.5,85.0,252
37009224,611897,Ane,Donostia-San Sebastián,103.0,107,6,EBI00456,38500.0,29,120.0,17.1,78.0,278
61327755,452744,Gorka,Bilbao,115.0,98,5,EBI00456,29400.0,24,350.0,13.8,72.0,224
89018913,616142,Gorka,Donostia-San Sebastián,136.0,346,7,Exento,38500.0,29,120.0,17.1,78.0,218
17130144,137641,Mikel,Vitoria-Gasteiz,309.0,69,2,Exento,34200.0,8,1400.0,9.5,85.0,199
14545583,653999,Mikel,Vitoria-Gasteiz,264.0,89,5,EBI00456,34200.0,8,1400.0,9.5,85.0,273
64079037,956774,Gorka,Bilbao,259.0,303,10,ESS00123,29400.0,24,350.0,13.8,72.0,193
64474455,469040,Gorka,Bilbao,108.0,333,3,EBI00456,29400.0,24,350.0,13.8,72.0,186
51542436,767542,Gorka,Bilbao,289.0,147,9,ESFCTU00004802700008399400000000000000000000EBI014636,29400.0,24,350.0,13.8,72.0,270
56626914,712121,Mikel,Donostia-San Sebastián,106.0,303,6,ESS00123,38500.0,29,120.0,17.1,78.0,114
63933927,418420,Gorka,Donostia-San Sebastián,214.0,74,10,ESS00123,38500.0,29,120.0,17.1,78.0,187
62453338,381685,Gorka,Donostia-San Sebastián,313.0,63,3,EBI00456,38500.0,29,120.0,17.1,78.0,200
24881728,980889,Maite,Bilbao,311.0,250,7,SIN_REGISTRO,29400.0,24,350.0,13.8,72.0,196
44045666,575526,Ane,Vitoria-Gasteiz,98.0,227,4,ESS00123,34200.0,8,1400.0,9.5,85.0,123
22722094,144813,Jon,Vitoria-Gasteiz,60.0,68,3,ESS00123,34200.0,8,1400.0,9.5,85.0,213
32178434,792558,Ane,Donostia-San Sebastián,52.0,168,8,ESS00123,38500.0,29,120.0,17.1,78.0,192
56321408,764180,Maite,Donostia-San Sebastián,148.0,196,4,Exento,38500.0,29,120.0,17.1,78.0,284
22796932,386214,Jon,Vitoria-Gasteiz,103.0,213,11,ESS00123,34200.0,8,1400.0,9.5,85.0,163
84023414,442703,Iker,Vitoria-Gasteiz,84.0,268,1,ESS00123,34200.0,8,1400.0,9.5,85.0,241
36063245,304615,Gorka,Donostia-San Sebastián,281.0,331,6,EBI00456,38500.0,29,120.0,17.1,78.0,204
49443226,576657,Maite,Donostia-San Sebastián,138.0,202,10,SIN_REGISTRO,38500.0,29,120.0,17.1,78.0,118
83619289,666074,Iker,Vitoria-Gasteiz,266.0,158,11,EBI00456,34200.0,8,1400.0,9.5,85.0,162
17887739,850294,Gorka,Bilbao,248.0,128,11,ESS00123,29400.0,24,350.0,13.8,72.0,186
70736972,855164,Mikel,Donostia-San Sebastián,182.0,306,1,EBI00456,38500.0,29,120.0,17.1,78.0,169
71071026,499953,Amaia,Vitoria-Gasteiz,251.0,320,5,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,155
10769598,922494,Maite,Vitoria-Gasteiz,125.0,335,7,EBI00456,34200.0,8,1400.0,9.5,85.0,163
99178975,938003,Mikel,Vitoria-Gasteiz,262.0,138,6,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,183
59007334,387654,Maite,Vitoria-Gasteiz,46.0,205,2,SIN_REGISTRO,34200.0,8,1400.0,9.5,85.0,221
38433648,381570,Maite,Bilbao,222.0,170,11,ESS00123,29400.0,24,350.0,13.8,72.0,204
17971379,137265,Mikel,Vitoria-Gasteiz,190.0,317,4,EBI00456,34200.0,8,1400.0,9.5,85.0,274
13331068,349321,Jon,Donostia-San Sebastián,268.0,152,11,ESS00123,38500.0,29,120.0,17.1,78.0,132
46810847,166150,Ane,Bilbao,106.0,72,2,EBI00456,29400.0,24,350.0,13.8,72.0,136
44428803,711600,Gorka,Vitoria-Gasteiz,283.0,319,11,ESS00123,34200.0,8,1400.0,9.5,85.0,179
15654237,189613,Maite,Bilbao,239.0,168,1,ESS00123,29400.0,24,350.0,13.8,72.0,218
71553124,437054,Gorka,Donostia-San Sebastián,210.0,248,3,ESFCTU00004802700008399400000000000000000000EBI014636,38500.0,29,120.0,17.1,78.0,186
55816038,938807,Amaia,Vitoria-Gasteiz,266.0,154,3,ESS00123,34200.0,8,1400.0,9.5,85.0,288
27750764,221826,Mikel,Donostia-San Sebastián,105.0,164,7,SIN_REGISTRO,38500.0,29,120.0,17.1,78.0,159
46898446,659723,Gorka,Vitoria-Gasteiz,173.0,67,1,ESS00123,34200.0,8,1400.0,9.5,85.0,233
33841962,982875,Mikel,Vitoria-Gasteiz,217.0,126,9,ESS00123,34200.0,8,1400.0,9.5,85.0,128
76834972,550348,Gorka,Vitoria-Gasteiz,200.0,250,11,SIN_REGISTRO,34200.0,8,1400.0,9.5,85.0,110
53156515,310017,Ane,Vitoria-Gasteiz,154.0,315,6,EBI00456,34200.0,8,1400.0,9.5,85.0,149
32993420,234055,Ane,Vitoria-Gasteiz,313.0,68,4,Exento,34200.0,8,1400.0,9.5,85.0,269
72190751,590457,Ane,Bilbao,118.0,176,3,ESS00123,29400.0,24,350.0,13.8,72.0,131
31970758,776022,Ane,Vitoria-Gasteiz,251.0,326,3,EBI00456,34200.0,8,1400.0,9.5,85.0,221
46513466,909942,Ane,Vitoria-Gasteiz,248.0,158,2,Exento,34200.0,8,1400.0,9.5,85.0,149
41288562,833547,Ane,Bilbao,205.0,357,2,EBI00456,29400.0,24,350.0,13.8,72.0,147
31351509,796358,Mikel,Bilbao,72.0,223,10,EBI00456,29400.0,24,350.0,13.8,72.0,157
33484187,550062,Maite,Bilbao,301.0,200,5,ESFCTU00004802700008399400000000000000000000EBI014636,29400.0,24,350.0,13.8,72.0,292
71777469,194071,Gorka,Bilbao,209.0,327,9,EBI00456,29400.0,24,350.0,13.8,72.0,184
46093880,893072,Ane,Bilbao,107.0,96,2,ESFCTU00004802700008399400000000000000000000EBI014636,29400.0,24,350.0,13.8,72.0,292
60441204,406691,Mikel,Bilbao,66.0,133,2,Exento,29400.0,24,350.0,13.8,72.0,288
91752859,941052,Mikel,Vitoria-Gasteiz,114.0,132,6,Exento,34200.0,8,1400.0,9.5,85.0,216
54066131,246389,Mikel,Vitoria-Gasteiz,140.0,258,10,ESS00123,34200.0,8,1400.0,9.5,85.0,117
85415325,739896,Maite,Donostia-San Sebastián,207.0,189,2,ESS00123,38500.0,29,120.0,17.1,78.0,195
45563453,369708,Gorka,Vitoria-Gasteiz,123.0,305,4,SIN_REGISTRO,34200.0,8,1400.0,9.5,85.0,177
44755914,782705,Maite,Vitoria-Gasteiz,49.0,119,6,ESS00123,34200.0,8,1400.0,9.5,85.0,184
60873983,738112,Jon,Bilbao,164.0,338,5,ESS00123,29400.0,24,350.0,13.8,72.0,246
63892568,354444,Iker,Bilbao,222.0,162,1,ESS00123,29400.0,24,350.0,13.8,72.0,199
33637222,703561,Mikel,Vitoria-Gasteiz,220.0,355,6,ESS00123,34200.0,8,1400.0,9.5,85.0,239
12484413,961291,Jon,Donostia-San Sebastián,261.0,210,1,ESFCTU00004802700008399400000000000000000000EBI014636,38500.0,29,120.0,17.1,78.0,189
80016224,311837,Amaia,Bilbao,100.0,216,3,SIN_REGISTRO,29400.0,24,350.0,13.8,72.0,204
49449976,210017,Ane,Vitoria-Gasteiz,231.0,265,10,EBI00456,34200.0,8,1400.0,9.5,85.0,179
99583549,223618,Iker,Vitoria-Gasteiz,276.0,238,5,ESS00123,34200.0,8,1400.0,9.5,85.0,199
12235000,559297,Ane,Donostia-San Sebastián,299.0,256,10,Exento,38500.0,29,120.0,17.1,78.0,168
33685747,225341,Maite,Donostia-San Sebastián,148.0,282,5,EBI00456,38500.0,29,120.0,17.1,78.0,256
47876684,915862,Iker,Bilbao,121.0,148,10,ESFCTU00004802700008399400000000000000000000EBI014636,29400.0,24,350.0,13.8,72.0,137
82931048,830892,Gorka,Donostia-San Sebastián,274.0,346,6,EBI00456,38500.0,29,120.0,17.1,78.0,181
39859174,652076,Jon,Vitoria-Gasteiz,302.0,335,10,ESS00123,34200.0,8,1400.0,9.5,85.0,123
46102853,850865,Gorka,Vitoria-Gasteiz,308.0,295,8,EBI00456,34200.0,8,1400.0,9.5,85.0,133
56159303,541759,Maite,Donostia-San Sebastián,226.0,242,5,ESFCTU00004802700008399400000000000000000000EBI014636,38500.0,29,120.0,17.1,78.0,221
22195226,955778,Ane,Donostia-San Sebastián,300.0,268,11,EBI00456,38500.0,29,120.0,17.1,78.0,153
57936136,982554,Iker,Donostia-San Sebastián,82.0,189,1,EBI00456,38500.0,29,120.0,17.1,78.0,165
79062973,664262,Gorka,Donostia-San Sebastián,220.0,212,5,ESS00123,38500.0,29,120.0,17.1,78.0,229
24421668,993741,Gorka,Bilbao,71.0,72,3,Exento,29400.0,24,350.0,13.8,72.0,288
31200096,640659,Ane,Donostia-San Sebastián,184.0,181,4,Exento,38500.0,29,120.0,17.1,78.0,141
93375337,931516,Iker,Bilbao,135.0,279,8,ESS00123,29400.0,24,350.0,13.8,72.0,287
33234510,522845,Jon,Vitoria-Gasteiz,105.0,165,7,EBI00456,34200.0,8,1400.0,9.5,85.0,278
61715898,806544,Ane,Donostia-San Sebastián,207.0,129,11,ESS00123,38500.0,29,120.0,17.1,78.0,134
55968757,424060,Gorka,Bilbao,187.0,254,5,ESS00123,29400.0,24,350.0,13.8,72.0,225
10061087,698260,Jon,Donostia-San Sebastián,297.0,245,2,ESS00123,38500.0,29,120.0,17.1,78.0,175
90705119,293259,Jon,Vitoria-Gasteiz,313.0,158,6,ESS00123,34200.0,8,1400.0,9.5,85.0,151
76653416,375128,Ane,Vitoria-Gasteiz,231.0,141,11,EBI00456,34200.0,8,1400.0,9.5,85.0,273
95382256,919471,Gorka,Vitoria-Gasteiz,130.0,134,6,ESS00123,34200.0,8,1400.0,9.5,85.0,185
20274621,709719,Maite,Donostia-San Sebastián,210.0,251,10,ESS00123,38500.0,29,120.0,17.1,78.0,246
23022704,970123,Gorka,Donostia-San Sebastián,158.0,273,10,SIN_REGISTRO,38500.0,29,120.0,17.1,78.0,273
26816569,945038,Mikel,Bilbao,227.0,203,11,EBI00456,29400.0,24,350.0,13.8,72.0,147
17654909,503832,Iker,Vitoria-Gasteiz,251.0,275,6,EBI00456,34200.0,8,1400.0,9.5,85.0,270
47814054,989097,Amaia,Donostia-San Sebastián,300.0,74,9,EBI00456,38500.0,29,120.0,17.1,78.0,279
94302960,729661,Maite,Vitoria-Gasteiz,279.0,276,11,EBI00456,34200.0,8,1400.0,9.5,85.0,170
25421040,281144,Jon,Vitoria-Gasteiz,47.0,94,8,ESS00123,34200.0,8,1400.0,9.5,85.0,283
34210512,911006,Maite,Bilbao,252.0,242,8,SIN_REGISTRO,29400.0,24,350.0,13.8,72.0,198
82073914,350195,Iker,Bilbao,241.0,329,1,ESS00123,29400.0,24,350.0,13.8,72.0,127
77922032,243748,Jon,Bilbao,169.0,159,5,EBI00456,29400.0,24,350.0,13.8,72.0,179
43779713,504032,Iker,Bilbao,182.0,66,7,ESS00123,29400.0,24,350.0,13.8,72.0,191
21506305,132733,Jon,Vitoria-Gasteiz,69.0,89,6,Exento,34200.0,8,1400.0,9.5,85.0,225
30560091,841040,Maite,Bilbao,112.0,364,5,EBI00456,29400.0,24,350.0,13.8,72.0,189
96881845,626338,Jon,Bilbao,105.0,203,8,EBI00456,29400.0,24,350.0,13.8,72.0,124
17734102,209996,Jon,Bilbao,73.0,170,3,ESS00123,29400.0,24,350.0,13.8,72.0,285
15674719,658221,Mikel,Bilbao,63.0,291,6,EBI00456,29400.0,24,350.0,13.8,72.0,122
18658144,649239,Gorka,Vitoria-Gasteiz,215.0,238,5,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,228
50163712,656701,Gorka,Bilbao,118.0,131,8,SIN_REGISTRO,29400.0,24,350.0,13.8,72.0,152
99386386,265873,Amaia,Vitoria-Gasteiz,105.0,269,4,ESS00123,34200.0,8,1400.0,9.5,85.0,166
95447809,810979,Amaia,Donostia-San Sebastián,197.0,279,8,ESS00123,38500.0,29,120.0,17.1,78.0,126
98917675,999005,Mikel,Vitoria-Gasteiz,92.0,139,10,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,287
54165849,533816,Amaia,Vitoria-Gasteiz,255.0,142,2,EBI00456,34200.0,8,1400.0,9.5,85.0,141
82586911,813135,Iker,Bilbao,183.0,101,9,EBI00456,29400.0,24,350.0,13.8,72.0,259
78227907,321888,Maite,Donostia-San Sebastián,154.0,332,9,ESFCTU00004802700008399400000000000000000000EBI014636,38500.0,29,120.0,17.1,78.0,164
88826934,885332,Ane,Donostia-San Sebastián,227.0,250,10,SIN_REGISTRO,38500.0,29,120.0,17.1,78.0,294
59905866,845453,Iker,Donostia-San Sebastián,72.0,232,10,EBI00456,38500.0,29,120.0,17.1,78.0,122
91121402,867950,Ane,Donostia-San Sebastián,241.0,66,6,EBI00456,38500.0,29,120.0,17.1,78.0,156
50657662,266472,Ane,Vitoria-Gasteiz,235.0,214,4,ESS00123,34200.0,8,1400.0,9.5,85.0,196
16659908,497710,Mikel,Donostia-San Sebastián,95.0,69,4,Exento,38500.0,29,120.0,17.1,78.0,171
41378291,311760,Iker,Vitoria-Gasteiz,193.0,93,6,ESS00123,34200.0,8,1400.0,9.5,85.0,291
73020641,222744,Mikel,Vitoria-Gasteiz,312.0,95,5,ESS00123,34200.0,8,1400.0,9.5,85.0,138
46634821,975863,Jon,Vitoria-Gasteiz,94.0,65,6,ESS00123,34200.0,8,1400.0,9.5,85.0,131
29433354,830051,Ane,Donostia-San Sebastián,290.0,274,7,ESS00123,38500.0,29,120.0,17.1,78.0,174
26887294,601946,Maite,Bilbao,157.0,193,7,EBI00456,29400.0,24,350.0,13.8,72.0,138
83422991,143001,Amaia,Bilbao,214.0,344,9,EBI00456,29400.0,24,350.0,13.8,72.0,157
45562619,691652,Maite,Donostia-San Sebastián,210.0,185,8,EBI00456,38500.0,29,120.0,17.1,78.0,114
45213498,931460,Amaia,Bilbao,58.0,233,6,ESS00123,29400.0,24,350.0,13.8,72.0,272
45703247,338506,Ane,Bilbao,247.0,211,6,ESFCTU00004802700008399400000000000000000000EBI014636,29400.0,24,350.0,13.8,72.0,210
50910172,853019,Ane,Vitoria-Gasteiz,233.0,85,5,ESS00123,34200.0,8,1400.0,9.5,85.0,180
72744322,530789,Ane,Vitoria-Gasteiz,199.0,174,1,Exento,34200.0,8,1400.0,9.5,85.0,283
67805563,756166,Mikel,Donostia-San Sebastián,99.0,343,9,ESFCTU00004802700008399400000000000000000000EBI014636,38500.0,29,120.0,17.1,78.0,272
16404003,811998,Iker,Donostia-San Sebastián,226.0,134,9,EBI00456,38500.0,29,120.0,17.1,78.0,282
81244178,752589,Amaia,Bilbao,254.0,225,9,EBI00456,29400.0,24,350.0,13.8,72.0,250
